tikka masala,583
chicken tikka,567
tandoori chicken,229
butter chicken,199
indian cuisine,192
basmati rice,143
rice pudding,111
saag paneer,103
ice cream,62
palak paneer,60
gulab jamun,57
masala dosa,53
rogan josh,51
gluten free,44
aloo gobi,42
chana masala,37
deep fried,34
iced tea,29
fried rice,24
hot sauce,23
aloo tikki,23
brown rice,21
chick peas,19
tomato soup,19
shahi paneer,18
chicken wings,18
bhindi masala,15
flat bread,15
white rice,14
mixed vegetable,13
coconut chicken,11
chicken 65,11
masala chai,10
tomato sauce,8
pani puri,7
pav bhaji,6
papdi chaat,5
gajar halwa,5
aloo matar,4
mushroom matar,3
navrattan korma,3
vada pav,3
amritsari fish,2
dahi vada,1
chettinadu chicken,1
vegetable jalfrezi,1
