Tandoori Times Indian Bistro,tandoori timesvolume 1 issue 1 number 1  limited run  copyright 2009 mejimbo enterprises  all rights reserved  dateline 7 may 2009scottsdale arizona    yelpers jim w and audrey w were reportedly seen enjoying lively conversation and delicious indian food with donald s and carin s  witnesses claim the group was laughing loudly at times  one bystander reported that was a guffaw  that outburst right there was definitely a guffaw  wild stuff    sources have related to this publication that the group dined on two appetizers one known as a bread basket which consisted of four types of naan bread  jim w was overheard to say i really like the onion naan  the other appetizer may have been aloo tikki  this has not been confirmed as yet  in any case the plate containing the reported aloo tikki was cleaned by the foursome several even going so far as to swab at the remaining sauce on the plate    the above sources also reported that the table was served an order of the friday daily special of kahari shrimp  it was overheard by a nearby table that the shrimp was flavorful with strong notes of garlic and ginger  this has not substantiated however    audrey w reportedly was served the lamb korma which she was rumored to have noted was yummy    carin s apparently was served the chicken masala and donald s may have been served some sort of vindaloo that included potato  it seems there was considerable sharing of the dishes around the table and the main dishes may have been spooned over what some experts have suggested was a basmati rice with various herbs and spices    an unnamed source has informed this publication that while jim w claims to have particularly enjoyed the food and festive atmosphere which included a belly dancer and some swordplay he was displeased with the excessive sound level produced by the in-house sound system and even requested that the music be reduced    jim ws blog had a statement this morning that read in part; ears havent hurt the next morning like that since my last rock concert  i really liked the food but i wouldnt go back on a night when they have dancing again maybe i was lucky; maybe i was just too desperate for a good indian meal; i dont know but my experience here was fabulous  i cant in good conscience give it a 5 star rating because i know of better places in ca but - on a scale of phoenix area indian places this would get a 5 star rating no problem ive been looking for a good indian place for over a year and i saw this place over a year ago but decided it was too fancy and could not rationalize a good indian place in such an upscale suburban setting so i kept passing it up   in the meantime ive been to mesa tempe and chandler in search of the solution most times i dont even walk in the door  im sorry but - as a lone diner im not interested in being the only patron at 7pm plus what does that tell you about the food if no one is there?  i walked into tt at 7:30pm on a friday night and it was busy!  that was a big plus  and most of the patrons looked indian - another big plus for some reason id gotten it into my head that this was a fancy spot but in fact the interior is simply nicely done  head and shoulders above most indian places for sure but - definitely not stuffy or over-fancy  many people have mentioned the incredibly slow service  my waiter is maybe a yelp reader because he told me - these tandoori appetizers shouldnt be called appetizers they should say 20-30 minutes to cook  he suggested i get my tandoori appetizer at the same time as my main dish - good advice i had the goat curry which was outstanding and the tandoori lamb chops - which was not perfect - way more pieces than i imagined but thinly sliced and not as juicy as i had hoped  the rice was absolutely perfect - basmati rice with some whole cloves dotted throughout the naan bread was also perfect - really really perfect and made the meal a perfect treat just as my meal arrived  boom  the music got loud and out jumped  a belly dancer!  this was not what i was in the mood for and at first i felt the evening was ruined  but - she was good and really worked the crowd as it were and made an effort to engage everyone some tables got up and danced with her leading to a rather festive atmosphere overall a plus but im glad it was only one reasonably short session in summary - good food nice place nice atmosphere and head-and-shoulders above anything else ive found in the phoenix metro so far (eastern edge - i dont get over to the west) hubby and i decided to eat outside the box for our latest date night this is definitely a good place to go if you typically dont have a very adventurous palate! the music was a *tad* loud and our server was on the slow side but otherwise we had a great experience trying some new dishes i had the lamb curry and it was very good hubby had the saturday special some kind of beef (cant remember the name) and it was very good and just a little spicy the garlic naan and basmati rice were to die for! eaten here twice this week- delicious indian food!!! my fiancé and i are visiting from iowa and honestly cannot get enough of this place their staff bobbi and joel were really kind and helpful they know the menu in and out and joel had great suggestions i had the chicken korma and it was perfect recommend getting an order of naan- plain and pesto were really good also a must have is their delicious basmati rice oh and dont forget to get a mango lassi- theyre really tasty another great thing is that their happy hour is from 5-7 and they have a great selection of well priced drinks its pretty challenging to find this location- its on the north west corner of via ventura and hayden road google maps has it wrong persevere its worth it!!!!,4.25,4,8140 N Hayden Rd Ste H115 Scottsdale AZ 85258
India Oven,this review is based on my first time eating at an indian place!went to this place as a suggestion from my friendjon who loves this placewent on a friday night and it was pretty empty there was about 5 parties there ranging from 1 to 6 people pet tablethe staff seemed pretty bored which added to the boring ambience theres nothing that makes it scream indian restaurant our wait staff was pretty good always there when we neededthey gave us a little too much time to over view the menuill start off with the appetizerstheres a complimentary plate of a baked type of chip? thats served with 2 different sauces one was sweet and red like a thin chutney the other was spicier and green like a salsa verde overall it reminded me of chips and salsa we ordered meat samosas to start theyre pretty much ground beef empanadas with indian seasonings overall it was good but definitely not a stand out id go back for very mildi ordered a tasting dinnerthis came with: basmati rice naan a goat curry a chicken curry and a shrimp curry it was also served with a cool cucumbery white sauce and a sweet dessert cupthe portions were good; enough to sharealthough it was all really good the food definitely tasted like it just came out of serving pots the only one that seemed like the meat was stewed in the curry was the goat the chicken and shrimp servings came off as if the chicken or shrimp was added into the sauce before being brought out also the three different curries seemed to be of varying heat the goat was most mild then the chicken and then the shrimp being the spiciest id definitely recommend getting this meat dinner if youve never had indian food you get a little taste of everythingthe menu was definitely hard to understand theres one goat  one veggie one seafood and one chicken section each with about 6-8 different options to have your choice of entree inthe descriptions really dont give any idea of what to expect from what you order ie chicken in spicy curry sauce vs chicken in very spicy curry saucei hated the seating of this place they should definitely get a new interior designer the tables are so close with no booths! i felt like i was unintentionally eaves dropping everyones conversationsfor food: id definitely give the food a 45 out of five the only complaint would be my food wasnt served completely piping hot one dish was warm while the others werent ect but taste was definitely awesome! all the curries were different like i ordered three different dishes and eating with naan or rice changed the tastes tooservice: 4 out of 5 it was satisfactory and i have no complaints but nothing spectacularprice: 3 out of 5 im a huge fan of thai curry but it just doesnt seem worth it for the price my meal with one mango lassi(which was underwhelming) and samosas($7) was about $45 its about 2 cups of curry rice and naan for $21-24 dollars i would definitely go back! but only when i want to splurge id rather go get thai curry :] wow this place was awesome! i felt like i was whisked away to an indian palace this place was decorated nicely with indian vases and paintings with lots of chandeliers  they also play indian music now for the best partthe food was delicious! i went on a sunday for the buffet during lunch and i had a $695 coupon from the newspaper (which is in the paper every single week) quite a bargain when we saw all the different choices they also have all you can drink mango lassi at the buffet! when you arrive they bring you a plate of freshly grilled garlic naan and they ask if youd like more when you polish it offbut we didnt need more after the first serving which was more than plenty  all of the food was so fresh and hot and full of wonderful flavors my favorite was the tika chiken masala basmati rice and spinach paneer the goat curry was also fabulous and the meat was super tender the waitresses and other staff members were very friendly and attentive i am definitely a fan and plan to return for the buffet again very very soon!!!!! i love it here! i only have gone here a couple of times for the buffet but i think thats the smart way to go!i had my first indian food experience here so i have nothing to really compare to i did have the buffet during lunch and dinner and there are only minor differences but the food is always delicious! i love how they bring hot garlic naan out to your table and refill it once its gone i love trying new food and the buffet help me do just that i get to taste a little bit of everything without having to waste food or burn a hole in my wallet now i know what i like [: the bf at the time loves their chicken tikka masala which i agree is absolutely amazing! but i also love their yogurt sauce and the mint chutney i seem to want to put those 2 sauces all over everything i eat oh and i love the basmati rice! its so different from all the rice i ever tried before but in a good way!the staff is real friendly and always refill your drinks and make sure you have everything you need all the time if you want indian food you should definitely come here! amazing delicious food and friendly service win win! my wife and i went here for lunch today  now just for clarification my wife is not one to enjoy foods that are ethnicshe left this place raving  the lamb was delicious as was the basmati rice  hmm the naan (flatbread) was divine  even the deserts were delicious: cheese donut thing carrot pudding and this amazing mango puddingthe two of us enjoyed a delicious and filling lunch in a wonderful atmosphere for about $20 bucks not bad! i took my 16 month old son here this weekend while my husband and daughter were seeing a movie together no one in my family likes ethnic food (and i am persian!) so its important to me to expose my son to as many types of foods possible while hes still young and open i took him in for the buffet at 5:00 pm on the dot i wanted to get in early since it is a busy night for restuarants and i didnt know how well he would behave i got a plate with a little bit of everything on it as well as a small plastic salad plate (empty) for him to eat off of in the meantime we got our bread and the wait staff was very helpful making sure i had what i needed for him they brought a spoon and paper napkins to the table and had taken away the second fork before i had even returned from the buffet i was impressedhe played around with the food at first but really got going towards the end he really liked the basmati rice and the lentil stew (i can never remember the names) after that he decided he really loved the rice with chicken and veggies he ate and ate and ate the waiter (owner maybe?) seemed really happy that he was digging the food towards the end i got my son some watermelon and had to go back to the buffet about 5 times for another piece i dont like to be wasteful so we only grabbed a slice at a timeall in all the food was great! i am sorry to say but arizona has some of the worst indian food around i am glad that there is a place i can go to around here now the buffet is awesome and is so inexpensive i fully expected to be charged at least for an adult and a child at the buffet (my son eats a lot) but i was pleasantly surprised when i got my bill for $10 it almost made me feel guilty!i definitely recommend first time last night at the indian oven after searching high and low for some good indian that rivals what i get in england when i travel there  i like this place a lot!  it lacks a lot of the dark tablecloth and somewhat dreary feel you get in many of the places in town  the restaurant appears clean and the service is exceptional  we had a steady flow of nan which was cooked perfectly and had great texture  i got a taj mahal beer which was served with a deeply frosted mug  when ice cold this is an exceptional beer as is the slightly lighter bodied kingfisher  the buffet is great and offers dishes divided between meat-based and vegetarian which is cool if you are not familiar with the dishes  they had a lamb vindaloo that had great flavor but lacked some of the heat i am used to with vindaloo dishes  i did hear the table next to me comment on how spicy it was so perhaps this is just my tastes and preference  all of the dishes i had were excellent  the basmati rice was served out of a rice cooker which seemed a little off considering everything else was is long pans  the lamb was a little dry perhaps because it was slightly over cooked?  all of the chicken dishes were exceptional as were the veggie  i also ordered a side of papadum which are great if you have kids  they did not serve it with the traditional spicy chutney i am used to though but they did nail the green cilantro based saucei few of my pet peeves that this place passed on was perfectly filtered arizona water  no chemical or hard water flavors so they must have a good ro system  the other was that when the bill was delivered they kept filling waters and asked us if they could get us anything until we left which again speaks to their high level of service  the wait staff were dressed neatly and groomed to the extent that i wondered how i could get my facial hair so tighta great night and experience and i look forward to my next visit,4.666666666666667,6,1315 S Gilbert Rd Mesa AZ 85204
Royal India Bistro,omg! i wish we had found this restaurant the day we arrived in vegas!the buffet is under 14$ and the food on the buffet is extremly freshthe chicken tandoori is so delicious  the basmati rice is delicate and had authentic flavors the naan ( bread) was out of this worldwe also had a very fresh salads  and the lentil dish was exquisitetry the sweet rice with fresh fruit delicious!now you should see the decor of this restaurant  its spacious and luxurious  like an island in the heart of the hotel rioits a greatly non smoking space  thank god for that!i have to add to my review the extremly welcoming warm  attention ate  details oriented service everyone in this restaurant is an absolute sweethearti will defently comeback we went to the $14 (11am to 4pm) lunch buffet  we had been there twice before for dinner when it was gaylord and both experiences were quite similar; nice ambiance good but overpriced food lousy service  so i was excited they were back (same owners new name) and could do a major affordable chow down and not have to worry about the service because it was a buffet  really what could possibly go wrong?so there we are-nobody to seat us-so i poke my head into the dining area and someone comes and ushers us to a table in a near empty room  i look around; wow design fallout!  the gaylord to india bistro remodel is more of a demodel what was once a rather upscale and attractively appointed space has been dehabbed with cheesy booths and a tacky over bright chandelier oh well moving onthe buffet consisted of: dal maharani  baingan pakoras (eggplant) aloo baingan (think it was potato and eggplant) palak paneer  basmati rice tandoori chicken chicken tikka masala chicken curry and some expired salada little heavy on the chicken and eggplant but i was still ok with thatuntil i discovered that every chicken dish was a contender for the food despair jackpot  the one commonality they all shared was their styrofoam taste and consistency  it was the worst rice i have ever had and we debated if it was old or undercooked settling on the notion that it was probably both  everything else pretty much sucked as well  there are people starving in (fill in the blank) and they would probably choose hunger over that buffet  the only plus:our server kept us attentively stocked with the only palatable things we had:garlic naan & water formerly known as gaylord royal india bistro can be found in the exact same place as it was before inside the rio casino with the same owner and almost the same menu the interior of this place is now more sophisticated plush and cozy with spacious booths lining around the walls of the restaurant i remembered fondly from my past visits as this was my favorite indian restaurant in las vegas the delicious and creamy korma entrees be it chicken lamb or vegetable korma is always amazing on top of fluffy basmati rice there is no words to describe the taste and the feeling of the first few spoonful of lamb korma and rice really you just have to experience it indian food just isnt the same after tasting this item because youll want to come back again and again for more of this delicious and heavenly korma curry i dont know if i can ever order anything else on the menu here - im too spoiled by this item and ill just want what i love over and over again sure they have really great curry and chicken tandoori creamy spinach cauliflower and carrots but addiction has its limit as my tummy is only limited in space the items to get here if you ever come here is the korma (lamb chicken or vegetable) creamy spinach and cauliflower trust me you will not be disappointed this has to be the best indian restaurant in las vegas that is all i went to the royal india bistro for the lunch buffet today  lunch was very good and service was excellent i was the first person here at about 11:30 but several tables were occupied before i left  the server asked me for my drink order  i got tap water which  she then said they had a buffet and i replied that was the reason i was there  she gestured for me to go ahead and start and shed get my naanthe buffet is small by comparison to other indian buffets in town  there are 8 hot dishes some salad and achaar  it was a good enough choice and the good taste of the food made up for the limited selectionthe naan was buttered generously and was a welcome addition to the mealfor my first trip i got chicken tikka masala malai kofta and some basmati rice  the thing i noticed about all of their dishes was they all had a nice spicy flavor  its not overpowering for people who like mild food but it had a definite tang and it was not just one dish but all of them  it was the first time i know that i had malai kofta and it was really a treat!  the last thing was the vegetable pakora  this was a bit disappointing  i didnt read the full description because i know what it is  the only vegetable i could see/taste was potato  it seemed more like it was a pakora made from bread stuffing and some potatofor the second plate i had aloo matar daal maharani and curry chicken  the aloo matar and curry chicken were good  the daal was ok  the sign said spicy lentils but this was the only dish that was lacking in spice  there were some beans mixed in the daal toofor dessert i got some rice pudding and some carrot pudding  the rice pudding was not labeled as kheer and it had a lot of liquid with less rice unlike kheer or rice puddings ive had before  the carrot pudding on the other hand was very thick and unlike the carrot puddings ive had elsewhere  both puddings were very good--im not criticizing them but merely pointing out the different preparation  i wish i had seen the achaar at the beginning of my meal  i didnt think it would be as tasty with dessert!service as i said was very good  when i went for my second plate my dirty plate was removed and my water glass refilled  the server was very pleasant  the room is quite nice and it was very quiet  the price is just over $16 including tax  for the limited selection its higher than most places  also you have to park and walk your way through the casino to get there and its right in the middle halfway between either garagestill i wont hesitate to stop here and i think ill try it for dinner some evening,3.5,4,3700 West Flamingo Rd Las Vegas NV 89103
Shalimar Restaurant,going to have to buck the yelp trend a bit here and rate this one 25 stars overallothers have commented about the lack of ambiance here and ill have to agree the restaurant is very plain and we went our tablecloth was a bit dirty and there was a vaguely unpleasant smell in the air the smell was probably just an unfortunate combination of spices and foods from the kitchen but this could really do with being closed off from the serving area not only to prevent a medley of odors but so the diner isnt deafened by clattering of pots and pans and so oni ordered chicken tikka masala garlic naan pappadums the basmati rice and water for my beverage  instead of the usual indian restaurant theme of refreshingly iced water topped up the second i sip from my glass i was surprised to be presented with a single bottle of kroger water which i had to sip sparingly lest i have to shell out another dollar for anotherthe pappadums were ok but unremarkable not unlike the pre-made ones you get from indian grocers and then stick in the microwave for 45 seconds instead of the usual bowls of mint or cilantro chutney and tamarind chutney these came accompanied by a couple of roadhouse diner style squeeze bottles filled with some sort of condiments both were extremely runny almost a water consistency one seemed to taste vaguely of tamarind and i couldnt identify the othermy garlic naan was the highlight of my meal and had that certain mix of denseness and crispness thats the hallmark of a good garlic naanthe rice was pretty good also cooked with saffron and ghee and very plentiful for just a couple of bucksthe main meal my chicken tikka masala was just ok - the chicken was of good quality and well cooked but the sauce lacked a certain deft touch and was a little aggressive as the spices didnt all blend together quite how i like id be very happy if i had cooked this up myself at home but its a notch below what i expect at a restaurantthe people running this place were very friendly but it was a rather odd experience at around 8pm we were the only people in the restaurant and it was a little strange and awkward having the guy sitting there in the tiny restaurant 15 feet from us while we ate one thing in shalimars favour is the prices - they are very decent we didnt hold back on breads and rice and things and our entire meal for two (including bottled water) came to just over $25this is the sort of place i could imagine myself coming to regularly for a cheap lunch if i worked in the area and was limited in where i could travel on my lunch break the food is good enough and cheap enough to eat again for a dinner out; however the atmosphere here is little above that of a food court and the food is only a few points above mediocre worth a look for the price but go in with low expectations oh man the interior of this place needs a gordon ramsay make over  it kind of looks more like an office rather than restaurant  i ordered take out and the food was surprisingly delicious  bhuna gosht and daal masala were great with the garlic naan  the basmati rice (ordered seperately) was also very flavorful  if anything the lamb was slightly overpriced for the portion  this place needs more customers!! gotta try it!,3.0,2,4001 S Decatur Blvd Ste 31 & 32 Las Vegas NV 89103
India Garden,our fave india restaurant closed in goodyear so we decided to try this india garden  the restaurant is big and open  bollywood music videos were playing on the tvs  when we got there we were the 2nd table of people in the whole place  they serve both menu and buffet  we opted to try the buffet since it looked good  we headed for the buffet  the dinner buffet consists of twenty different items  i got the basmati rice tandoori chicken chicken masala vegetable samosa and kheer  everything was wonderful  there was a lot more in the buffet but i over did it  oh also naan (we got the garlic naan) is included with the buffet they will bring it to your table fresh!   and hot chai tea  all that was $1099 per person i usually come here for the lunch buffet for two reasons:  1) its a better value; and 2) the variety of dishes to select  having said that though the dinner was delicious and the service very thoughtful and kind  i had shrimp curry (a little light on the curry) spinach and cubed cheese (perfectly spiced for me) and eggplant (also perfectly spiced for me)  included was some garlic naan (yum) and basmati rice  just water to drink i spent about $40 where the lunch buffet costs $10  there you have it,4.0,2,1809 N Dysart Rd Ste C106 Avondale AZ 85392
Khyber Halal,got the chicken boti garlic nan riati sauce tzatziki sauce and baklawa to gochicken boti consisted of perfectly spiced and marinated chunks of chicken breast served over a non-greasy flavorful basmati rice mixture  riati sauce was a cilantro-based lemony garlicky sauce that reminds me of chimichurri saucetzatziki sauce wa sthinner than expected but necessary to balance the spice and still very goodbaklawa was juicy and crispy and with a certain strange pice that made it better than usualservice was awesome the owners were very patient helpful and descriptive since i have never had this type of cuisine before   got a question just ask them they wer every nice  a quick 10 minutes after ordering my food was ready to gosince everything was so tasty i cant wait to go back and keep trying the different things on their long menu!  i am a sucker for meat grilled to perfection which is what they served to me here here it ismy 100th reviewand i dont have a speech preparedoh well here goes!go here (http://khyberhalalblogspotcom/) to see pictures and descriptions of the food on their menu it is very accurate although the mantoo picture doesnt really emphasize that it is 12 pieces of deliciousnessthis place is fricking amazing the service was excellent as well as friendly and it smells simply divineafter several months of saying we need to stop at this place one day we finally made it there last night for take-out we ordered the following:1) chicken karahimmmmmm mmmmmmm! we got an order of basmati rice and the flavors of this bone-in (but cut into manageable pieces) was fantastic never had anything like it but it was awesome i woke up this morning wanting morebut there was none2) mantoothis was possibly the star of an all-star show we decided that they reminded us of dumplings or of non-fried crab rangoon only filled with ground beef seasonings and topped with one (technically two?) of the most delightful sauces ever 3) chicken tikka masala - i chose medium spicy this timeyou know i had to have it and it was delicious (we also had the basmati rice with this one because its a saucy dish and thats how i like itif you ask nicely they may let you substitute the naan that it comes with for rice instead)4) beef samosas and chicken samosasboth were fantastic but i think i loved the beef one just a *little* bit more the seasoning was superb we also dipped it into the sauce that came with the mantooomfgwow 5) garlic naanive never met a garlic naan that i didnt like6) baklawa (aka baklava)one of the best ive ever had nutty and honey-eymmmmwere actually planning on going back again tomorrow night so i can try the okra bamya and the eggplant banjan and see what that bolanee/aloo paratha is all about just there  had the mixed grill  there were two of us  mixed grill came with two skewers of lamb kabob two skewers of chicken kabobs flavorful brown basmati rice chopped salad  this portion was too much for two people but it didnt stand in the way of us finishing it  we tried one beef and one chicken samosas  it was a draw  i liked the beef hubby liked the chicken  we had baklava and firni for dessert  everything was fantastic  i will definitely go backthanks to yelpers who lead me to this place  congrats to the staff who did their best to fill all the orders even on a busy saturday night  the place was packed,5.0,3,4030 N 24th St Phoenix AZ 85016
Indus Village,i looove this place!thank god it just around the corner from my house  their menu is small but everything on it is delicious  the chicken tikka masala sauce is delicious - i could just drink it by itself mmmm  the aloo baingan (excuse the spelling) is awesome!!!  the prices are also amazing dinner meals starting at 699 (entree basmati rice naan and dalmmmm),5.0,1,1964 N Alma School Rd Ste 1 Chandler AZ 85224
Saffron,mediterranean/mexican fusion? when we first walked into this establishment we were shocked by the run-down decor there were numerous holes in the walls and just an overall tackiness that made this no one was there to welcome us into the restaurant the lady began to walk us to a table a customer complained and she abandoned us so we had to find our own tablewhen we began to place our order the compact disc on the kenwood stereo began to skip so our order took a backseat to fixing the scratched cd playing ok so this place stinks! no literally it smells like old camel assi guess all the ocean breeze renuzits were there to camouflage the camel smell but it didnt work trust me our water came without ice the ice upon demand came out in a mini casserole dish with a pair of ice tongs as we looked around the room at the other customers tables we realized that maybe bottled water was the way to go perhaps the leftover bottle caps on our table should have been an indicationoh did i mention that the leopard printed table cloth was hiding an uneven table that tilted when we put our drinks upon it? the leopard table cloth was the top layer of 5 different table covers there were several plastic table covers nunderneath the leopard cloth that had stains and old crusted food upon themanyway the surprise came when the food arrived it was surprisingly delicious! the kabob appetizer actually came in the form of a wrap with lots of fresh veggies and tender chicken who knew? also the chicken makhani was delicious we had to order the basmati rice and an order of garlic naan a la carte oh did i mention that they also do quinceneras? egad!,2.0,1,3230 E Desert Inn Rd Eastside Las Vegas NV 89121
Hurry 4 Curry,i visited hurry 4 curry on a saturday evening for a take away dinner i believe i visited on their second or third day of operationi entered a restaurant with modern decor that was spotlessly clean having read about the restaurant in the republic prior to arriving i immediately headed towards one of the two flat screen televisions to place my order ordering was easy and quick and the menus offered descriptions of the indian food for those who may be unfamiliar with the cuisinei ordered butter chicken naan bread and basmati rice this came to $850 it was a pleasure to see as is done in many other countries that the tax was included in the price of each item while i could have swiped my credit card to pay at the menu monitor i chose to pay cash and received service from the friendly lady at the cash register she also validated my parking in the az center garage my butter chicken (you can choose naan or rice as a side) was $750 and my naan was another dollar which brought the total cost of my meal to $850 because i was ordering take away i did not order a drink i did however see that the restaurant is applying for a liquor license; presumably for the sale of beer given that there is no bar in the quick service spaceafter a wait of maybe five minutes i received my food in what one might describe as higher-quality chinese food boxes the naan bread was wrapped in foilafter a short drive home i transferred my food from box to plate and began to enjoy my dinner while the rice was very well cooked (generally fluffy and not clumped together) the naan (as the republic also reported) was somewhat disappointing while it was definitely naan and not pita bread i found my serving to be almost cracker-like in texture and too cool of a temperature (i assume this may be because the naan was prepared earlier in the day i wonder though if they could have devised a way to warm the bread before serving in a convection oven?) my butter chicken was flavorful but also rather cool in temperature portion sizes were more than adequatewhen i visited the restaurant was empty because i hope this restaurant will survive (i think the concept is novel) i sent some of the concerns detailed above in the form of constructive criticism to the restaurant after eating my dinner would i return? sure i enjoyed a healthy filling and flavorful dinner for a fair price and when i return i will be happy to adjust my star rating upwards if some minor improvements have been made,3.0,1,Arizona Center 400 E Van Buren St Phoenix AZ 85004
India Masala,butter chicken!hmm what to make of this place its indian food in a food court in a strip hotel ok so its the riviera but stillcutting to the chase the butter chicken was yummy it had bell peppers in it which stood out for some reason maybe because there usually arent bell peppers in butter chicken? idk i liked what they brought to the party the plate comes with a good amount of basmati rice and a ginormous piece of naan in my book it doesnt get much better than savoring some delicious butter chicken sauce with some naanso the food was good but back to the place the fact that we even have indian food in a food court in this town makes me happy the down side is that youre paying more for it like i said its in a strip hotel albeit the riviera theyre probably paying a lot for that location so their prices are naturally higher i mean $12 for a plate of butter chicken isnt insane but it just feels weird because youre in a freakin food courtin any case i left satisfied i wouldnt go out of my way to eat there again but id consider it if im ever back in the riviera like the next time i watch some roller derby!ps i pretty much always order mango lassi if they offer it ive had better but it was pretty good,4.0,1,Riviera Hotel and Casino 2901 Las Vegas Blvd S The Strip Las Vegas NV 89109
